Sh;Ih;Rh;Nh
9999;1;0;10000
9997.9401060000000143;1.8098939999999998918;0.25;10000
9996.022013548117684;3.2755129518821286538;0.70247349999999997294;10000
9992.5513509934135072;5.927297268615225434;1.5213517379705321364;10000
9986.273095826514691;10.723728118360925876;3.003176055124338717;10000
9974.9215476014087471;19.394344313877372343;5.6841080847145697419;10000.000000000001819
9954.4150989236113674;35.052206913206227057;10.53269416318391194;10000.000000000001819
9917.4291318423856865;63.275122266130615856;19.295745891485466927;10000.000000000001819
9850.9113185087862803;113.97415503319727748;35.114526458018119115;10000
9731.8998933623824996;204.49204142130179207;63.608065216317442037;10000.000000000001819
9520.9497092956316919;364.31921513272715174;114.73107557164289005;10000.000000000001819
9153.2712272023036348;640.91789344287292352;205.8108793548246922;10000.000000000001819
8531.4227240190284647;1102.5369232654293228;366.04035271554289466;10000
7534.3646165300569919;1823.9607999380430101;641.67458353190022535;10000
6077.6717309530058628;2824.6634855305837846;1097.6647835164110347;10000
4257.9297249137780454;3938.2396201871656558;1803.8306548990569809;10000
2480.4424853952014018;4731.1669546589509991;2788.3905599458485085;10000
1236.4914082928085008;4792.3262930966056956;3971.1822986105862583;10000
608.37035785494276752;4222.3657702603204598;5169.2638718847374548;10000
336.08156734228316509;3439.0631182079005157;6224.8553144498173424;10000
213.56616070890999026;2701.8127452892986184;7084.6210940017926987;10000.000000000001819
152.40248856253143117;2087.5232311133527219;7760.0742803241173533;10000.000000000001819
118.67925261503165757;1599.3656592825141161;8281.9550881024551927;10000
98.559231378241264565;1219.6442656986760085;8681.796502923083608;10000
85.817268031734315059;927.47516262051397007;8986.7075693477527238;10000.000000000001819
77.380369261655928881;704.04327073546392057;9218.5763600028803921;10000
71.605581665492337606;533.80724064776154592;9394.5871776867461449;10000
67.55388240132589317;404.40712974998763229;9528.0389878486857924;10000
64.658039602674719504;306.20119011114189789;9629.1407702861833968;10000
62.559412522955931024;231.74951966307520479;9705.6910678139684023;10000
61.022612459880413383;175.34893981038192123;9763.6284477297376725;10000
59.888385917554629145;132.64593140011223227;9807.4656826823338633;10000
59.046327140165786318;100.32650732747302413;9840.6271655323616869;10000
58.41839249228203812;75.872815143488509193;9865.7087923642302485;10000
57.948561495460090498;57.374442354438322411;9884.6769961501031503;10000.000000000001819
57.596136256949435506;43.383257004339398577;9899.0206067387134681;10000.000000000001819
57.331273210890060454;32.802305799313927537;9909.8664209897979163;10000.000000000001819
57.131929827582929704;24.801072732792576403;9918.0669974396259931;10000.000000000001819
